2	These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.
0	it worked for the first week then it only charge my phone to 20%. it is a waste of money.
2	These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.
0	it worked for the first week then it only charge my phone to 20%. it is a waste of money.
2	These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.
0	it worked for the first week then it only charge my phone to 20%. it is a waste of money.
2	These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.
0	it worked for the first week then it only charge my phone to 20%. it is a waste of money.
2	These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.
0	it worked for the first week then it only charge my phone to 20%. it is a waste of money.
2	These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.
0	it worked for the first week then it only charge my phone to 20%. it is a waste of money.
0	It worked great for the first couple of weeks then it just stopped completely.. so basically a small waste of money.
2	does not have the need amps to charge things like ipads or hp touchpads. but its super small and compact.
2	I am disappointed that the 1A didn't work with my iPad.  That's what I get for buying a cheap adapter.
2	After a week only one side works
0	Only works one side at a time. When you connect two cables one side stop working and also overheated burning the fuses. I purchased two of them and it's the same problem. Cheap and bad quality.
2	Didn't last very long. Worked great when it worked but it is a cheap piece of plastic crap so I shouldn't have expected it to last.
2	I bought this so that I could use and charge my Tab at the same time. My tab does not recognize the high power port and will either charge while off or use power while on it will not charge while powered on.
2	I could only give this USB car charger 2 stars because although it worked fine for about 3 months it subsequently died on me.Pros:-Has 2 USB ports for charging one (the top) is 2.1 amps.  The bottom slot is lower presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.  I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.  It rapidly charged my iPhone and worked well with charging the phones of my family and friends.  The two slot design makes this design very handy; with a 1 slot design no one else can charge their device unless I remove my cord.  Of course after this charger died I had to go back to the 1 slot design I was using before.After 3 months I began to notice the LED light flickering.  It was less than a week later that is quit working permanently.  I'm not sure what the problem was - faulty wiring bad design I guess I'll never know.  I thought about getting another since they are so cheap but then I thought better of it.  Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet.
0	I bought 2 of this and tried to test first ... after few minutes of charging it felt hot. Pulled it out and the product smelled burnt. Tried the other one too and same thing. Be careful... this one could be fire hazard or could potentially destroy the electrical system
2	The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything. It has a cool 3D effect but at the cost of the paint rubbing off.It is quite pretty though.
2	I loved the case when I first received it but shortly after the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots. Guess sometimes a good deal is not really a good deal.would not purchase.
2	It looked like it was used! It was broken when it got to be the paint job was horrible.I would never get it again
0	This case for some reason is peeling there isn't much left of the orginal skin i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone.
0	The charger only lasted a week ad after that it just stopped charging my Samsung Galaxy S3.  They really need to start making these chargers better....I've been thru several!!!!
2	It works great  thus  far no issues.  The only thing i might have limited was a usb Connect or it charges my t989 without fail
